City ID,City Name,Airport Name,Iata Code,Country Name
56615,Hong Kong,Hong Kong International,HKG,Hong Kong
65368,Los Angeles,Los Angeles International,LAX,United States
42795,Bangkok,Bangkok Suvarnabhumi,BKK,Thailand
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
65698,London,London Heathrow,LHR,United Kingdom
65368,Los Angeles,Los Angeles International,LAX,United States
81870,Singapore,Singapore Changi,SIN,Singapore
65368,Los Angeles,Los Angeles International,LAX,United States
67901,Macau,Macau,MFM,Macau
48018,Dubai,Dubai,DXB,United Arab Emirates
65368,Los Angeles,Los Angeles International,LAX,United States
44759,Paris,Paris Charles de Gaulle,CDG,France
65368,Los Angeles,Los Angeles International,LAX,United States
60987,New York,New York John F. Kennedy,JFK,United States
65368,Los Angeles,Los Angeles International,LAX,United States
64012,Kuala Lumpur,Kuala Lumpur International,KUL,Malaysia
65368,Los Angeles,Los Angeles International,LAX,United States
51631,Rome,Rome Fiumicino,FCO,Italy
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
70788,Tokyo,Tokyo Narita,NRT,Japan
65368,Los Angeles,Los Angeles International,LAX,United States
84501,Taipei,Taipei Taiwan Taoyuan,TPE,Taiwan
59316,Istanbul,Istanbul,IST,Turkey
65368,Los Angeles,Los Angeles International,LAX,United States
58542,Seoul,Seoul Incheon Int'l,ICN,South Korea
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
75575,Shanghai,Shanghai Pu Dong,PVG,China
65363,Las Vegas,Las Vegas Mccarran,LAS,United States
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
68768,Milan,Milan Malpensa,MXP,Italy
63448,Osaka,Osaka Kansai International,KIX,Japan
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
84892,Berlin,Berlin Tegel,TXL,Germany
61362,Johannesburg,Johannesburg O.R. Tambo,JNB,South Africa
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
88485,Venice,Venice Marco Polo,VCE,Italy
65368,Los Angeles,Los Angeles International,LAX,United States
67759,Orlando,Orlando International,MCO,United States
65368,Los Angeles,Los Angeles International,LAX,United States
88879,Moscow,Moscow Vnukovo,VKO,Russia
65368,Los Angeles,Los Angeles International,LAX,United States
96474,Toronto,Toronto Pearson International,YYZ,Canada
56138,Hannover,Hannover,HAJ,Germany
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
82628,Sydney,Sydney,SYD,Australia
65368,Los Angeles,Los Angeles International,LAX,United States
86479,Quito,Quito,UIO,Ecuador
65368,Los Angeles,Los Angeles International,LAX,United States
65634,Long Beach,Long Beach Municipal,LGB,United States
61362,Johannesburg,Johannesburg O.R. Tambo,JNB,South Africa
65368,Los Angeles,Los Angeles International,LAX,United States
45336,Copenhagen,Copenhagen,CPH,Denmark
65368,Los Angeles,Los Angeles International,LAX,United States
44809,Chiang Rai,Chiang Rai,CEI,Thailand
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
91273,Nowy Dwor Mazowiecki,Warsaw Modlin,WMI,Poland
65368,Los Angeles,Los Angeles International,LAX,United States
67852,Melbourne,Melbourne Tullamarine,MEL,Australia
65368,Los Angeles,Los Angeles International,LAX,United States
84326,Tel Aviv,Ben Gurion Intl,TLV,Israel
43141,Brussels,Brussels International,BRU,Belgium
65368,Los Angeles,Los Angeles International,LAX,United States
40492,Auckland,Auckland International,AKL,New Zealand
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
96322,Vancouver,Vancouver International,YVR,Canada
44907,Jakarta,Soekarno-Hatta,CGK,Indonesia
65368,Los Angeles,Los Angeles International,LAX,United States
52337,Frankfurt,Frankfurt am Main,FRA,Germany
65368,Los Angeles,Los Angeles International,LAX,United States
40830,Stockholm,Stockholm Arlanda,ARN,Sweden
65368,Los Angeles,Los Angeles International,LAX,United States
54215,Rio De Janeiro,Rio De Janeiro Internacional,GIG,Brazil
65368,Los Angeles,Los Angeles International,LAX,United States
50421,Buenos Aires,Buenos Aires Ministro Pistarini,EZE,Argentina
65368,Los Angeles,Los Angeles International,LAX,United States
40065,Albuquerque,Albuquerque,ABQ,United States
65368,Los Angeles,Los Angeles International,LAX,United States
65368,Los Angeles,Los Angeles International,LAX,United States
96268,Montreal,Montreal Pierre Elliott Trudeau,YUL,Canada
65368,Los Angeles,Los Angeles International,LAX,United States
75572,Providence,Providence,PVD,United States
40968,Abu Dhabi,Abu Dhabi International,AUH,United Arab Emirates
65368,Los Angeles,Los Angeles International,LAX,United States
45186,Colombo,Colombo Bandaranayake,CMB,Sri Lanka
65368,Los Angeles,Los Angeles International,LAX,United States
47009,Washington,Washington Ronald Reagan,DCA,United States
65368,Los Angeles,Los Angeles International,LAX,United States
